mes,ventas,beneficio
ENERO,442920.4358000001,86479.67343100005
FEBRERO,486838.79640000005,94765.14584100002
MARZO,569943.7894,112939.22331700003
ABRIL,510731.2638400001,99738.95561374926
MAYO,627527.6714000001,119503.58289506097
JUNIO,485439.04720000003,88386.45506400001
JULIO,507043.70119999995,83558.52118299998
AGOSTO,455347.79124000005,72319.37970100009
SEPTIEMBRE,484208.05960000004,72059.04212939076
OCTUBRE,525453.5856000001,86411.65277080555
NOVIEMBRE,454794.2896,78807.73034614492
DICIEMBRE,560074.4174,107977.82669179038
